,Province/State,Country/Region,Lat,Long,Date,cases
141,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-12,0
142,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-13,3
143,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-13,0
144,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-14,3
145,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-14,0
146,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-15,3
147,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-15,0
148,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-16,3
149,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-16,0
150,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-17,3
151,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-17,0
152,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-18,3
153,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-18,0
154,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-19,3
155,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-19,0
156,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-02,3
157,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-02,0
158,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-20,3
159,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-20,0
160,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-21,3
161,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-21,0
162,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-22,3
163,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-22,0
164,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-23,3
165,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-23,0
166,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-24,3
167,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-24,0
168,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-25,3
169,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-25,0
170,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-26,3
171,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-26,0
172,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-27,3
173,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-27,0
174,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-28,3
175,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-28,0
176,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-29,3
177,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-29,0
178,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-03,3
179,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-03,0
180,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-30,3
181,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-30,0
182,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-04,3
183,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-04,0
184,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-05,3
185,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-05,0
186,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-06,3
187,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-06,0
188,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-07,3
189,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-07,0
190,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-08,3
191,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-08,0
192,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-09,3
193,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-09,0
194,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-01,3
195,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-01,0
196,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-10,3
197,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-10,0
198,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-11,3
199,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-11,0
200,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-12,3
201,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-12,0
202,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-13,4
203,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-13,0
204,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-14,4
205,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-14,0
206,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-15,4
207,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-15,0
208,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-16,4
209,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-16,0
210,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-17,10
211,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-17,0
212,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-18,10
213,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-18,0
214,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-19,10
215,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-19,0
216,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-02,3
217,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-02,0
218,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-20,10
219,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-20,0
220,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-21,10
221,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-21,0
222,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-22,10
223,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-22,0
224,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-23,10
225,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-23,0
226,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-24,10
227,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-24,0
228,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-25,10
229,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-25,0
230,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-26,10
231,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-26,0
232,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-27,10
233,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-27,0
234,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-28,12
235,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-28,0
236,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-29,12
237,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-29,0
238,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-03,3
239,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-03,0
240,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-30,12
241,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-30,0
242,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-31,12
243,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-31,0
